EV,Waiting_time,Charging_time,Total,Reward
0,0.0,1.0312499999999996,3.861249999999999,-3.861249999999999
1,0.0,0.40625,3.23625,-3.23625
2,0.0,1.125,3.955,-3.955
3,0.0,2.5625000000000013,5.4125000000000005,-5.4125000000000005
4,0.0,1.9500000000000002,4.91,-4.91
5,0.0,0.8750000000000002,4.045000000000001,-4.045000000000001
6,0.0,0.9250000000000003,3.6550000000000002,-3.6550000000000002
7,0.0,1.06875,4.2387500000000005,-4.2387500000000005
8,0.0,1.3062500000000006,4.47625,-4.47625
9,0.0,2.4629166666666675,5.342916666666668,-5.342916666666668
10,0.0,3.1000000000000014,6.060000000000001,-6.060000000000001
11,0,1.0187500000000003,4.188750000000001,-4.188750000000001
12,0.0,2.135833333333334,5.015833333333335,-5.015833333333335
13,0,2.3500000000000005,5.5200000000000005,-5.5200000000000005
14,0.0,1.5583333333333336,4.5183333333333335,-4.5183333333333335
15,0.0,1.7000000000000004,4.66,-4.66
16,0.0,2.7183333333333337,5.888333333333334,-5.888333333333334
17,0.0,2.6741666666666664,5.634166666666665,-5.634166666666665
18,0.3337500000000013,2.9187500000000006,6.102500000000002,-6.102500000000002
19,0.0,2.4562500000000007,5.186250000000001,-5.186250000000001
20,0.0,2.498333333333334,5.328333333333334,-5.328333333333334
21,0.0,1.9350000000000007,4.765000000000001,-4.765000000000001
22,0.04333333333333267,2.668750000000001,5.672083333333333,-5.672083333333333
23,0.0,2.646666666666667,5.4766666666666675,-5.4766666666666675
24,0,1.4500000000000002,4.410000000000001,-4.410000000000001
25,0,1.0749999999999997,3.9050000000000002,-3.9050000000000002
26,0.0,2.547083333333334,5.277083333333334,-5.277083333333334
27,0.0,2.486250000000001,5.656250000000001,-5.656250000000001
28,0.0,1.6375000000000006,4.457500000000001,-4.457500000000001
29,0.016250000000000188,1.8562500000000004,4.8325000000000005,-4.8325000000000005
