EV,Waiting_time,Charging_time,Total,Reward
0,0.0,0.34999999999999976,3.0799999999999996,-3.0799999999999996
1,0.0,0.13124999999999998,2.8612499999999996,-2.8612499999999996
2,0.0,0.7124999999999999,3.5925000000000002,-3.5925000000000002
3,0.0,0.2875000000000001,3.1675000000000004,-3.1675000000000004
4,0.0,0.5062499999999996,3.236249999999999,-3.236249999999999
5,0.0,0.43125000000000036,3.301250000000001,-3.301250000000001
6,0,0.7062500000000002,3.43625,-3.43625
7,0,0.17500000000000027,2.905,-2.905
8,0.0,0.5875000000000004,3.4675000000000002,-3.4675000000000002
9,0,0.18125000000000002,3.0112499999999995,-3.0112499999999995
10,0.1262499999999993,0.95625,3.8124999999999987,-3.8124999999999987
11,0.26624999999999976,0.5312500000000003,3.5274999999999994,-3.5274999999999994
12,0.0,0.7937499999999998,3.6137499999999996,-3.6137499999999996
13,0.13874999999999948,0.8562499999999997,3.7249999999999988,-3.7249999999999988
14,0.0,0.74375,3.61375,-3.61375
15,0,0.15000000000000013,2.88,-2.88
16,0.0,0.5937499999999997,3.4637499999999997,-3.4637499999999997
17,0.0,0.3999999999999998,3.1299999999999994,-3.1299999999999994
18,0.030000000000000138,0.44999999999999973,3.2099999999999995,-3.2099999999999995
19,0.06625,0.3875000000000003,3.33375,-3.33375
20,0,0.40625,3.28625,-3.28625
21,0.0,0.4375,3.1674999999999995,-3.1674999999999995
22,0,0,2.7299999999999995,-2.7299999999999995
23,0.018750000000000162,0.9937499999999999,3.7424999999999997,-3.7424999999999997
24,0.17124999999999924,0.6562499999999997,3.5574999999999988,-3.5574999999999988
25,0,0.6124999999999997,3.4924999999999997,-3.4924999999999997
26,0.0,0.46250000000000013,3.1925,-3.1925
27,0.0,0.2999999999999998,3.0299999999999994,-3.0299999999999994
28,0.0,0.66875,3.4887499999999996,-3.4887499999999996
29,0.21374999999999944,0.9187499999999998,3.862499999999999,-3.862499999999999
