EV,Waiting_time,Charging_time,Total,Reward
0,0.0,0.43749999999999967,3.3175,-3.3175
1,0.0,0.13124999999999998,2.8612499999999996,-2.8612499999999996
2,0.0,0.7124999999999999,3.5925000000000002,-3.5925000000000002
3,0.0,0.23125000000000007,2.9612499999999997,-2.9612499999999997
4,0.0,0.5062499999999996,3.236249999999999,-3.236249999999999
5,0,0.33125000000000016,3.06125,-3.06125
6,0.0,0.76875,3.6387500000000004,-3.6387500000000004
7,0.0,0.17500000000000027,2.905,-2.905
8,0.017499999999999412,0.5875000000000001,3.4849999999999994,-3.4849999999999994
9,0.0,0.20625000000000004,3.07625,-3.07625
10,0.22374999999999928,0.9562499999999998,3.909999999999999,-3.909999999999999
11,0.0,0.5875000000000001,3.4675000000000002,-3.4675000000000002
12,0.5474999999999999,0.7812499999999999,4.05875,-4.05875
13,0.0,0.9124999999999995,3.7925000000000004,-3.7925000000000004
14,0.0,0.5562500000000001,3.28625,-3.28625
15,0.0,0.15625000000000022,3.0262500000000006,-3.0262500000000006
16,0,0.4999999999999998,3.2299999999999995,-3.2299999999999995
17,0,0.43124999999999974,3.1612499999999994,-3.1612499999999994
18,0.0,0.5437499999999996,3.41375,-3.41375
19,0,0.36250000000000027,3.0925000000000002,-3.0925000000000002
20,0.1612499999999995,0.3562500000000002,3.247499999999999,-3.247499999999999
21,0.0,0.4375,3.1674999999999995,-3.1674999999999995
22,0,0,2.7299999999999995,-2.7299999999999995
23,0.0,0.8937499999999998,3.7637500000000004,-3.7637500000000004
24,0.05375000000000029,0.6937499999999999,3.4774999999999996,-3.4774999999999996
25,0.0,0.5374999999999996,3.3575,-3.3575
26,0.018749999999999496,0.49375,3.3825,-3.3825
27,0.0,0.3624999999999998,3.1825,-3.1825
28,0.1662499999999998,0.5312500000000002,3.4274999999999998,-3.4274999999999998
29,0.1287499999999996,0.9187499999999998,3.777499999999999,-3.777499999999999
