time,distance,position,state,cact_mode,SOC,action,act_mode
0.01,0,P0,0,,0.69,-1,0.0
0.02,0,P0,0,,0.69,-1,0.0
0.03,0,P0,0,,0.69,-1,0.0
0.04,0,P0,0,,0.69,-1,0.0
0.05,0,P0,0,,0.69,-1,0.0
0.06,0,P0,0,,0.69,-1,0.0
0.07,0,P0,0,,0.69,-1,0.0
0.08,0,P0,0,,0.69,-1,0.0
0.09,0,P0,0,,0.69,-1,0.0
0.1,0,P0,0,,0.69,-1,0.0
0.11,0,P0,0,,0.69,-1,0.0
0.12,0,P0,0,,0.69,-1,0.0
0.13,0,P0,0,,0.69,-1,0.0
0.14,0,P0,0,,0.69,-1,0.0
0.15,0,P0,0,,0.69,-1,0.0
0.16,0,P0,0,,0.69,-1,0.0
0.17,0,P0,0,,0.69,-1,0.0
0.18,0,P0,0,,0.69,-1,0.0
0.19,0,P0,0,,0.69,-1,0.0
0.2,0,P0,0,,0.69,-1,0.0
0.21,0,P0,0,,0.69,-1,0.0
0.22,0,P0,0,,0.69,-1,0.0
0.23,1.0,0-10,0,,0.52,-1,0.0
0.24,2.0,0-10,0,,0.52,-1,0.0
0.25,3.0,0-10,0,,0.52,-1,0.0
0.26,4.0,0-10,0,,0.52,-1,0.0
0.27,5.0,0-10,0,,0.52,-1,0.0
0.28,6.0,0-10,0,,0.52,-1,0.0
0.29,7.0,0-10,0,,0.52,-1,0.0
0.3,8.0,0-10,0,,0.52,-1,0.0
0.31,9.0,0-10,0,,0.52,-1,0.0
0.32,10.0,0-10,0,,0.52,-1,0.0
0.33,11.0,0-10,0,,0.52,-1,0.0
0.34,12.0,0-10,0,,0.52,-1,0.0
0.35,13.0,0-10,0,,0.52,-1,0.0
0.36,14.0,0-10,0,,0.52,-1,0.0
0.37,15.0,0-10,0,,0.52,-1,0.0
0.38,16.0,0-10,0,,0.52,-1,0.0
0.39,17.0,0-10,0,,0.52,-1,0.0
0.4,18.0,0-10,0,,0.52,-1,0.0
0.41,19.0,0-10,0,,0.52,-1,0.0
0.42,20.0,0-10,0,,0.52,-1,0.0
0.43,21.0,0-10,0,,0.52,-1,0.0
0.44,22.0,0-10,0,,0.52,-1,0.0
0.45,23.0,0-10,0,,0.52,-1,0.0
0.46,24.0,0-10,0,,0.52,-1,0.0
0.47,25.0,0-10,0,,0.52,-1,0.0
0.48,26.0,0-10,0,,0.52,-1,0.0
0.49,27.0,0-10,0,,0.52,-1,0.0
0.5,28.0,0-10,0,,0.52,-1,0.0
0.51,29.0,0-10,0,,0.52,-1,0.0
0.52,30.0,0-10,0,,0.52,-1,0.0
0.53,31.0,0-10,0,,0.52,-1,0.0
0.54,32.0,0-10,0,,0.52,-1,0.0
0.55,33.0,0-10,0,,0.52,-1,0.0
0.56,34.0,0-10,0,,0.52,-1,0.0
0.57,35.0,0-10,0,,0.52,-1,0.0
0.58,36.0,0-10,0,,0.52,-1,0.0
0.59,37.0,0-10,0,,0.52,-1,0.0
0.6,38.0,0-10,0,,0.52,-1,0.0
0.61,39.0,0-10,0,,0.52,-1,0.0
0.62,40.0,0-10,0,,0.52,-1,0.0
0.63,41.0,0-10,0,,0.52,-1,0.0
0.64,42.0,0-10,0,,0.52,-1,0.0
0.65,43.0,0-10,0,,0.52,-1,0.0
0.66,44.0,0-10,0,,0.52,-1,0.0
0.67,45.0,0-10,0,,0.52,-1,0.0
0.68,46.0,0-10,0,,0.52,-1,0.0
0.69,47.0,0-10,0,,0.52,-1,0.0
0.7,48.0,0-10,0,,0.52,-1,0.0
0.71,49.0,0-10,0,,0.52,-1,0.0
0.72,50.0,0-10,0,,0.52,-1,0.0
0.73,51.0,0-10,0,,0.52,-1,0.0
0.74,52.0,0-10,0,,0.52,-1,0.0
0.75,53.0,0-10,0,,0.52,-1,0.0
0.76,54.0,0-10,0,,0.52,-1,0.0
0.77,55.0,0-10,0,,0.52,-1,0.0
0.78,56.0,0-10,0,,0.52,-1,0.0
0.79,57.0,0-10,0,,0.52,-1,0.0
0.8,58.0,0-10,0,,0.52,-1,0.0
0.81,59.0,0-10,0,,0.52,-1,0.0
0.82,60.0,0-10,0,,0.52,-1,0.0
0.83,61.0,0-10,0,,0.52,-1,0.0
0.84,62.0,0-10,0,,0.52,-1,0.0
0.85,63.0,0-10,0,,0.52,-1,0.0
0.86,64.0,0-10,0,,0.52,-1,0.0
0.87,65.0,0-10,0,,0.52,-1,0.0
0.88,66.0,0-10,0,,0.52,-1,0.0
0.89,67.0,0-10,0,,0.52,-1,0.0
0.9,68.0,0-10,0,,0.52,-1,0.0
0.91,69.0,10-17,0,,0.4275,-1,0.0
