time,distance,position,state,cact_mode,SOC,action,act_mode
0.01,0,P0,0,,0.51,-1,0.0
0.02,0,P0,0,,0.51,-1,0.0
0.03,0,P0,0,,0.51,-1,0.0
0.04,0,P0,0,,0.51,-1,0.0
0.05,0,P0,0,,0.51,-1,0.0
0.06,0,P0,0,,0.51,-1,0.0
0.07,0,P0,0,,0.51,-1,0.0
0.08,0,P0,0,,0.51,-1,0.0
0.09,0,P0,0,,0.51,-1,0.0
0.1,0,P0,0,,0.51,-1,0.0
0.11,0,P0,0,,0.51,-1,0.0
0.12,0,P0,0,,0.51,-1,0.0
0.13,0,P0,0,,0.51,-1,0.0
0.14,0,P0,0,,0.51,-1,0.0
0.15,0,P0,0,,0.51,-1,0.0
0.16,0,P0,0,,0.51,-1,0.0
0.17,0,P0,0,,0.51,-1,0.0
0.18,0,P0,0,,0.51,-1,0.0
0.19,0,P0,0,,0.51,-1,0.0
0.2,0,P0,0,,0.51,-1,0.0
0.21,0,P0,0,,0.51,-1,0.0
0.22,0,P0,0,,0.51,-1,0.0
0.23,0,P0,0,,0.51,-1,0.0
0.24,0,P0,0,,0.51,-1,0.0
0.25,0,P0,0,,0.51,-1,0.0
0.26,0,P0,0,,0.51,-1,0.0
0.27,0,P0,0,,0.51,-1,0.0
0.28,1.0,0-10,0,,0.34,-1,0.0
0.29,2.0,0-10,0,,0.34,-1,0.0
0.3,3.0,0-10,0,,0.34,-1,0.0
0.31,4.0,0-10,0,,0.34,-1,0.0
0.32,5.0,0-10,0,,0.34,-1,0.0
0.33,6.0,0-10,0,,0.34,-1,0.0
0.34,7.0,0-10,0,,0.34,-1,0.0
0.35,8.0,0-10,0,,0.34,-1,0.0
0.36,9.0,0-10,0,,0.34,-1,0.0
0.37,10.0,0-10,0,,0.34,-1,0.0
0.38,11.0,0-10,0,,0.34,-1,0.0
0.39,12.0,0-10,0,,0.34,-1,0.0
0.4,13.0,0-10,0,,0.34,-1,0.0
0.41,14.0,0-10,0,,0.34,-1,0.0
0.42,15.0,0-10,0,,0.34,-1,0.0
0.43,16.0,0-10,0,,0.34,-1,0.0
0.44,17.0,0-10,0,,0.34,-1,0.0
