Step,Value
1,-190.1218958
2,-186.5591667
3,-186.7642083
4,-188.0866042
5,-185.2864167
6,-179.251375
7,-179.3578958
8,-178.8492917
9,-179.53475
10,-182.325875
11,-183.1665625
12,-185.5514375
13,-180.4081875
14,-181.4194792
15,-186.1523542
16,-182.1748542
17,-183.3276875
18,-182.847875
19,-185.9675208
20,-188.2670625
21,-184.2795833
22,-180.6441875
23,-184.0167083
24,-182.8922083
25,-182.7553542
26,-185.9924375
27,-184.2167292
28,-187.4424792
29,-187.9987917
30,-184.2719792
31,-192.6604583
32,-189.9231042
33,-186.0077917
34,-184.8317708
35,-181.0874375
36,-183.8615
37,-182.3878333
38,-185.7395
39,-185.1446667
40,-184.5119583
41,-184.6740208
42,-181.3585417
43,-183.576875
44,-183.1842292
45,-181.2283333
46,-181.3111667
47,-179.6569375
48,-182.4567083
49,-179.0375208
50,-178.9957708
51,-182.2583958
52,-177.6719792
53,-181.1720208
54,-182.3476875
55,-180.9464167
56,-182.402875
57,-177.555625
58,-179.1883958
59,-180.7589583
60,-180.204
61,-179.3176875
62,-181.0372917
63,-181.1895417
64,-180.9052708
65,-183.37775
66,-184.3758542
67,-185.0918542
68,-185.1349792
69,-182.5927292
70,-184.1121875
71,-183.8738125
72,-181.6768125
73,-182.4637292
74,-186.552625
75,-184.6654583
76,-185.7291667
77,-184.8777708
78,-183.7443542
79,-184.9607708
80,-186.2978958
81,-185.8068125
82,-183.7820833
83,-186.1384583
84,-185.5397708
85,-185.9008958
86,-182.6900417
87,-184.8701458
88,-186.3761875
89,-187.3828542
90,-184.8064583
91,-184.6258125
92,-180.3805417
93,-177.9503542
94,-178.206375
95,-182.1273333
96,-182.3052292
97,-182.4649375
98,-182.1976458
99,-187.1771875
100,-178.9744167
101,-183.4496458
102,-180.4119167
103,-185.445375
104,-182.4272917
105,-178.2417292
106,-177.2459375
107,-180.6425833
108,-177.7743333
109,-177.88675
110,-179.7678958
111,-182.8080417
112,-180.6234792
113,-181.2961667
114,-182.2462708
115,-183.1302708
116,-181.8031458
117,-183.6651042
118,-183.2561042
119,-180.4179792
120,-180.485375
121,-183.9679167
122,-189.1154167
123,-185.51375
124,-178.12125
125,-185.4598542
126,-181.3090625
127,-177.5768125
128,-176.207375
129,-176.3294167
130,-182.5342708
131,-185.0859167
132,-184.5918542
133,-184.0058333
134,-184.7485417
135,-185.1357292
136,-183.5939583
137,-184.4079583
138,-188.5959167
139,-185.1807083
140,-190.2702292
141,-183.158
142,-184.1759375
143,-187.2734792
144,-189.4559167
145,-186.76175
146,-182.4407708
147,-179.3655208
148,-182.2027083
149,-181.2579792
150,-184.4395
151,-180.8278125
152,-178.5966042
153,-179.53475
154,-178.4846042
155,-182.1221667
156,-181.7125
157,-186.0382917
158,-188.4666458
159,-183.4472083
160,-182.4246042
161,-184.10475
162,-184.03925
163,-187.6351042
164,-188.4999792
165,-183.7010417
166,-183.8647083
167,-182.214
168,-181.9197708
169,-183.560125
170,-179.4364792
171,-182.18775
172,-179.2799167
173,-183.3546458
174,-182.7413333
175,-180.32625
176,-184.0537292
177,-183.17425
178,-184.2740833
179,-183.1574167
180,-185.0878958
181,-192.9277292
182,-187.0568542
183,-185.7772708
184,-185.8336458
185,-182.2162083
186,-180.4446667
187,-185.8877708
188,-179.8788958
189,-184.3332708
190,-185.48325
191,-183.2496667
192,-185.0645208
193,-188.8928958
194,-183.04275
195,-185.2775417
196,-180.9057292
197,-183.0065417
198,-187.3762083
199,-183.3932708
200,-185.7385625
201,-183.041875
202,-181.6736042
203,-182.3548542
204,-181.7164167
205,-180.5843542
206,-181.5042292
207,-185.3531667
208,-188.5683542
209,-183.2367917
210,-183.6678958
211,-183.6440833
212,-184.1776042
213,-183.967375
214,-180.9234583
215,-180.1310417
