Wall time,Step,Value
1740451504.8168273,1,-177.32666015625
1740451505.3046174,1,-171.5449981689453
1740451505.7357795,1,-169.82875061035156
1740451506.2242672,1,-178.79624938964844
1740451506.6731765,1,-165.14833068847656
1740451507.1730154,1,-175.90415954589844
1740451507.6629326,1,-170.61000061035156
1740451508.11936,1,-169.00250244140625
1740451508.6433852,1,-179.1387481689453
1740451509.0938566,1,-169.15708923339844
1740451509.6172864,1,-170.67250061035156
1740451510.2103016,1,-170.2554168701172
1740451510.7185998,1,-172.6004180908203
1740451511.3106184,1,-175.82749938964844
1740451511.8827035,1,-168.80999755859375
1740451512.508609,1,-162.47125244140625
1740451513.1594307,1,-182.10958862304688
1740451513.8184843,1,-173.81166076660156
1740451514.558561,1,-168.55792236328125
1740451515.2123728,1,-173.22250366210938
1740451516.008707,1,-179.33375549316406
1740451516.770158,1,-163.9479217529297
1740451517.5126734,1,-173.62832641601562
1740451518.2232947,1,-168.23458862304688
1740451518.92694,1,-168.40957641601562
1740451519.6969526,1,-169.711669921875
1740451520.4663773,1,-171.52708435058594
1740451521.1490922,1,-168.46458435058594
1740451521.8906102,1,-168.6300048828125
1740451522.6062148,1,-180.9691619873047
1740451523.3704066,1,-174.1437530517578
1740451524.1295092,1,-171.78416442871094
1740451524.7932868,1,-173.2483367919922
1740451525.6025782,1,-168.46583557128906
1740451532.5499065,2,-163.59291076660156
1740451533.0771422,2,-166.742919921875
1740451533.6817966,2,-167.82708740234375
1740451534.2115695,2,-166.7170867919922
1740451534.8235214,2,-168.76791381835938
1740451535.3966033,2,-167.42208862304688
1740451536.0563946,2,-164.12709045410156
1740451536.67632,2,-182.0066680908203
1740451537.2503986,2,-165.913330078125
1740451537.89823,2,-175.48333740234375
1740451538.5849319,2,-170.44667053222656
1740451539.181493,2,-165.9704132080078
1740451539.8841412,2,-172.18417358398438
1740451540.4661927,2,-172.94166564941406
1740451541.157878,2,-173.0675048828125
1740451541.7827861,2,-166.91958618164062
1740451542.5272942,2,-182.91749572753906
1740451543.1860893,2,-163.94749450683594
1740451543.998646,2,-178.2012481689453
1740451544.8149137,2,-175.98583984375
1740451545.5933084,2,-169.92999267578125
1740451546.3936296,2,-166.88999938964844
1740451547.1750145,2,-171.09249877929688
1740451547.9643722,2,-179.16542053222656
1740451548.7776499,2,-169.58457946777344
1740451549.5117412,2,-170.8070831298828
1740451550.3549194,2,-173.1649932861328
1740451551.1502573,2,-164.91542053222656
1740451551.8688521,2,-171.71499633789062
1740451552.6711667,2,-172.2137451171875
1740451553.4163415,2,-170.9441680908203
1740451554.208045,2,-163.8925018310547
1740451560.7297547,3,-160.74166870117188
1740451561.250013,3,-160.65415954589844
1740451561.817115,3,-169.55917358398438
1740451562.33239,3,-164.5954132080078
1740451562.915439,3,-166.2624969482422
1740451563.5045002,3,-167.50209045410156
1740451564.0671573,3,-163.38082885742188
1740451564.6691425,3,-170.89625549316406
1740451565.1844177,3,-172.5120849609375
1740451565.796369,3,-175.22000122070312
1740451566.4571579,3,-165.6112518310547
1740451567.0073166,3,-167.1054229736328
1740451567.6751566,3,-175.61874389648438
1740451568.233288,3,-159.2758331298828
1740451568.85421,3,-158.41458129882812
1740451569.515553,3,-173.00625610351562
1740451570.1309602,3,-170.25750732421875
1740451570.9223123,3,-165.68458557128906
1740451572.0176458,3,-165.8175048828125
1740451573.1398895,3,-165.49082946777344
1740451573.901002,3,-167.60708618164062
1740451574.6859229,3,-173.76083374023438
1740451575.4663107,3,-169.80833435058594
1740451576.0971985,3,-178.43666076660156
1740451576.7659602,3,-167.7866668701172
1740451577.369939,3,-169.07916259765625
1740451578.0745804,3,-173.73666381835938
1740451578.756299,3,-170.38958740234375
1740451579.3658006,3,-159.5
1740451580.0674524,3,-166.77542114257812
1740451580.75515,3,-171.0679168701172
1740451587.6803055,4,-161.6004180908203
1740451588.27631,4,-175.5762481689453
1740451588.907199,4,-160.64999389648438
1740451589.4858117,4,-170.6666717529297
1740451590.1206868,4,-170.83541870117188
1740451590.6987522,4,-163.15249633789062
1740451591.3615334,4,-171.73374938964844
1740451591.9993994,4,-162.8558349609375
1740451592.6133435,4,-161.71417236328125
1740451593.2860923,4,-166.3524932861328
1740451593.902678,4,-164.01416015625
