Wall time,Step,Value
1739953972.2848465,2,-196.9945831298828
1739953974.3534923,2,-202.00958251953125
1739953993.0031986,3,-183.9933319091797
1739954006.0417037,3,-188.81875610351562
1739954059.551098,6,-179.99874877929688
1739954102.3543282,8,-182.27166748046875
1739954104.9083965,8,-163.93666076660156
1739954120.7795556,9,-171.25209045410156
1739954129.7862043,9,-176.43167114257812
1739954152.5355566,10,-154.7254180908203
1739954153.5162742,10,-160.50582885742188
1739954163.7219667,11,-151.75625610351562
1739954265.6871674,16,-138.20916748046875
1739954305.4115722,18,-147.02749633789062
1739954330.8748841,19,-165.01499938964844
1739954339.9562855,20,-133.67958068847656
1739954367.6426444,21,-138.45249938964844
1739954378.377216,22,-135.59707641601562
1739954426.338391,25,-162.44082641601562
1739954430.0214765,25,-151.27999877929688
1739954485.7710037,28,-140.1233367919922
1739954493.569212,29,-127.87374877929688
1739954512.0218873,30,-131.18292236328125
1739954601.8910527,35,-142.4824981689453
1739954633.475625,37,-128.15916442871094
1739954672.491587,40,-124.32958221435547
1739954697.1268365,41,-148.9112548828125
1739954754.8593135,45,-131.48500061035156
1739954809.8085663,48,-125.10250091552734
1739954851.713311,51,-153.72207641601562
1739954853.1568036,51,-128.4045867919922
1739954864.21925,52,-128.05874633789062
1739954866.2583551,52,-137.8574981689453
1739954899.7991314,54,-136.5629119873047
1739954903.0652153,54,-122.93875122070312
1739954938.2700543,57,-130.7929229736328
1739954957.5988655,58,-115.32917022705078
1739955018.8350418,62,-120.6937484741211
1739955044.1075435,64,-122.89875030517578
1739955120.8829353,69,-118.42082977294922
1739955151.4274788,71,-119.06708526611328
1739955153.1148307,71,-120.92500305175781
1739955228.4632106,76,-155.56666564941406
1739955254.7402318,78,-114.31458282470703
1739955283.1892085,80,-122.6812515258789
1739955302.4838269,81,-117.72125244140625
1739955370.0795283,86,-116.9487533569336
1739955414.307371,89,-120.66000366210938
1739955476.5978544,93,-145.1770782470703
1739955486.7229831,94,-122.72958374023438
1739955508.123308,95,-115.66999816894531
1739955532.1698256,97,-113.2562484741211
1739955562.1168714,99,-107.84750366210938
1739955620.797272,103,-110.82499694824219
1739955652.7229192,105,-122.90625
1739955666.1497993,106,-115.23958587646484
1739955666.9970138,106,-109.92749786376953
1739955669.1925788,106,-117.42500305175781
1739955691.051536,108,-108.30000305175781
1739955691.5049481,108,-111.6137466430664
1739955697.21337,108,-120.08374786376953
