Wall time,Step,Value
1741655598.0544746,4,-198.40875244140625
1741655599.728349,4,-203.94125366210938
1741655618.2663412,6,-177.96417236328125
1741655635.063268,8,-177.17250061035156
1741655680.0521657,14,-156.27041625976562
1741655683.9182303,14,-162.15374755859375
1741655726.1472113,20,-136.05874633789062
1741655728.0448623,20,-146.46624755859375
1741655741.992852,22,-150.37167358398438
1741655751.8162105,23,-145.2375030517578
1741655773.6597216,26,-131.46958923339844
1741655774.4148142,26,-129.6737518310547
1741655780.1901033,27,-128.00209045410156
1741655844.7564285,36,-128.61708068847656
1741655867.938911,39,-129.80166625976562
1741655875.71642,40,-129.83457946777344
1741655911.1750054,45,-121.91666412353516
1741655926.204405,47,-126.61541748046875
1741655937.2748294,49,-117.5120849609375
1741655939.7486293,49,-124.6449966430664
1741655967.6638196,53,-126.65125274658203
1741655975.0940845,54,-138.43374633789062
1741655988.994426,56,-130.7308349609375
1741656014.5326684,60,-127.319580078125
1741656019.8740091,61,-151.57542419433594
1741656047.4758635,65,-119.50416564941406
1741656055.0523798,66,-114.0808334350586
1741656063.6563256,67,-149.1875
1741656068.3572342,68,-123.6050033569336
1741656083.2860053,70,-117.4124984741211
1741656144.2098367,79,-107.03166961669922
1741656158.703248,81,-111.23500061035156
1741656184.3800476,85,-120.03624725341797
1741656212.6394029,89,-106.69625091552734
1741656236.4115217,93,-112.20833587646484
1741656278.36634,99,-107.17250061035156
1741656324.982656,106,-106.55208587646484
1741656354.2628372,110,-120.7379150390625
1741656355.3214781,110,-116.27874755859375
1741656365.3232148,112,-120.45417022705078
1741656366.6151354,112,-116.74708557128906
1741656393.6461947,116,-103.91083526611328
1741656398.770591,117,-107.65249633789062
1741656421.5338378,120,-108.14541625976562
1741656439.561635,123,-103.91583251953125
1741656469.1261492,127,-122.49041748046875
1741656486.2511778,130,-109.88041687011719
1741656494.1538107,131,-116.76457977294922
1741656504.8553498,133,-111.15416717529297
1741656535.0162034,137,-104.3949966430664
1741656562.5161476,141,-103.52333068847656
1741656573.9263086,143,-117.52916717529297
1741656579.6850293,144,-137.8229217529297
1741656587.8058205,145,-112.26708221435547
1741656588.7725856,145,-116.06541442871094
1741656614.2505422,149,-104.83875274658203
1741656648.889723,154,-113.60291290283203
1741656654.6164112,155,-112.5320816040039
1741656661.5937455,156,-110.29374694824219
1741656662.5864244,156,-107.8741683959961
1741656667.939139,157,-106.70124816894531
1741656689.3629773,160,-104.8566665649414
1741656700.424174,162,-111.34874725341797
1741656707.3491187,163,-116.12750244140625
1741656735.8917208,167,-108.2125015258789
1741656755.7451494,170,-102.25250244140625
1741656789.406221,175,-104.84041595458984
1741656840.8095915,183,-111.48999786376953
1741656847.3569083,184,-104.01750183105469
1741656863.1947324,186,-114.27958679199219
1741656867.9704297,187,-131.5508270263672
1741656880.1993158,189,-118.5425033569336
1741656881.8677332,189,-107.41874694824219
1741656907.9519756,193,-118.48999786376953
1741656914.5846293,194,-106.23291778564453
1741656934.1746309,197,-114.95375061035156
1741656953.921054,200,-111.93916320800781
1741656954.2011697,200,-111.76166534423828
1741656980.1098628,204,-102.1050033569336
1741656988.344722,205,-102.22916412353516
1741656988.9935565,205,-107.42500305175781
1741656993.4285877,206,-101.08000183105469
1741657007.1288173,208,-103.43250274658203
1741657007.463778,208,-103.8550033569336
1741657014.1637943,209,-111.19625091552734
1741657015.810354,209,-102.0625
1741657033.5430522,212,-106.805419921875
1741657041.1799364,213,-101.83875274658203
1741657043.1007233,213,-103.288330078125
1741657116.2795236,224,-105.13749694824219
1741657148.2185612,229,-104.79708099365234
1741657174.8822029,233,-102.87625122070312
1741657234.1652822,242,-107.64250183105469
1741657273.5395157,248,-102.01249694824219
1741657296.128471,251,-107.46499633789062
1741657313.1835973,254,-102.2941665649414
1741657314.1543496,254,-102.10749816894531
1741657346.5446346,259,-101.3499984741211
1741657380.570437,264,-102.85749816894531
1741657400.0930984,267,-109.0062484741211
1741657419.4123578,270,-103.29000091552734
1741657426.7942863,271,-106.02249908447266
1741657427.4589899,271,-102.39125061035156
1741657427.810813,271,-101.82125091552734
1741657460.2144048,276,-111.33625030517578
1741657557.7409034,291,-102.0875015258789
1741657624.393824,301,-107.01499938964844
1741657632.9037504,302,-104.81375122070312
1741657633.500753,302,-101.14125061035156
1741657660.6681411,306,-106.31749725341797
1741657692.3507645,311,-107.17874908447266
1741657699.9589741,312,-106.72624969482422
1741657730.8036156,317,-104.07125091552734
1741657740.39279,318,-104.94625091552734
1741657745.3279119,319,-107.78500366210938
1741657804.8178852,328,-101.69249725341797
1741657819.0948837,330,-103.07875061035156
1741657836.6428442,333,-102.34625244140625
1741657864.3677855,337,-102.26000213623047
1741657897.9395113,342,-103.15875244140625
1741657951.417738,350,-106.15499877929688
1741657956.3547666,351,-102.88375091552734
1741657970.046778,353,-100.64749908447266
1741657971.628486,353,-103.05249786376953
1741658010.9907005,359,-102.25749969482422
1741658017.9830027,360,-133.99374389648438
1741658018.6487753,360,-110.58125305175781
1741658063.660862,367,-100.9375
1741658115.4432862,375,-101.89375305175781
1741658123.6886463,376,-130.72874450683594
1741658136.218342,378,-101.6137466430664
1741658189.60741,386,-108.82250213623047
1741658209.2608418,389,-104.6187515258789
1741658213.38766,390,-105.45874786376953
1741658215.9698136,390,-101.2074966430664
1741658256.2551873,396,-101.43875122070312
1741658279.1993985,400,-133.36375427246094
1741658286.5208864,401,-100.72624969482422
1741658306.893203,404,-100.5687484741211
1741658313.5879934,405,-101.77999877929688
1741658335.5742638,408,-100.64624786376953
1741658373.446302,414,-101.94625091552734
1741658379.0876713,415,-100.30374908447266
1741658380.0422485,415,-102.28791809082031
1741658420.6166828,421,-100.70999908447266
1741658423.9446132,422,-105.12625122070312
1741658452.5789683,426,-101.52124786376953
1741658467.0434391,428,-100.28125
1741658524.9884822,437,-104.76249694824219
1741658575.6806185,445,-100.3062515258789
1741658583.483329,446,-100.50875091552734
1741658590.7330647,447,-130.5362548828125
1741658623.8365114,452,-101.2125015258789
1741658676.8012574,460,-100.92874908447266
1741658695.7202356,463,-106.0754165649414
1741658759.701948,473,-101.20375061035156
1741658767.0907087,474,-128.99874877929688
1741658789.247176,477,-104.53375244140625
1741658838.588058,485,-99.81999969482422
1741658846.6499364,486,-99.92874908447266
1741658847.5890136,486,-104.4000015258789
1741658867.2470534,489,-100.03375244140625
1741658872.224811,490,-100.08125305175781
1741658891.6478493,493,-100.3550033569336
1741658903.7284398,495,-100.13749694824219
1741658937.4624736,500,-101.10749816894531
1741658946.7751853,501,-100.65875244140625
1741659010.0146677,511,-100.5737533569336
1741659013.1030247,511,-100.07624816894531
1741659042.8458269,516,-100.41374969482422
1741659051.9329221,517,-99.85749816894531
1741659058.8644764,518,-100.22624969482422
1741659063.4745007,519,-99.62750244140625
1741659070.303665,520,-100.31749725341797
1741659102.1463706,525,-100.36624908447266
1741659115.6967232,527,-100.03125
1741659117.308331,527,-100.53500366210938
1741659151.1048367,532,-99.59874725341797
1741659164.9315445,534,-99.59874725341797
1741659219.9376028,542,-99.3862533569336
1741659233.7259398,544,-99.3862533569336
1741659262.8949788,548,-99.3862533569336
1741659281.1322517,551,-99.3862533569336
1741659310.8055856,555,-100.43624877929688
1741659334.516993,559,-99.3862533569336
1741659335.4680297,559,-100.58833312988281
1741659342.3705442,560,-99.6362533569336
1741659358.3275964,562,-99.3862533569336
1741659417.785541,571,-103.77375030517578
1741659423.1909344,572,-99.06124877929688
1741659430.9383,573,-99.41124725341797
1741659485.6772413,581,-100.79875183105469
1741659500.0699906,583,-99.83000183105469
1741659513.3432107,585,-99.16625213623047
1741659566.421592,593,-99.06124877929688
1741659568.9726248,593,-99.13375091552734
1741659593.3201034,597,-98.86250305175781
1741659626.4023635,602,-103.82875061035156
1741659642.3789783,604,-99.00375366210938
1741659679.6201642,610,-98.89624786376953
1741659694.155048,612,-99.46624755859375
1741659694.4556923,612,-98.76374816894531
1741659705.9404013,614,-104.58499908447266
1741659718.741202,616,-99.06124877929688
1741659727.4722824,617,-100.30750274658203
1741659754.1835947,621,-98.35375213623047
1741659760.2007456,622,-98.86250305175781
1741659761.2243204,622,-98.86250305175781
1741659771.8780375,624,-98.78500366210938
1741659787.7794826,626,-98.79125213623047
1741659863.3737202,638,-99.0512466430664
1741659886.0019832,641,-98.81625366210938
1741659890.8226554,642,-98.30750274658203
1741659926.1761672,647,-99.26625061035156
1741659943.3237324,650,-98.69249725341797
1741659946.5166526,650,-100.68624877929688
1741659965.9218776,653,-100.05374908447266
1741660004.2746425,659,-99.49749755859375
1741660023.0601268,662,-100.73750305175781
1741660052.863731,666,-98.91374969482422
1741660072.4123225,669,-98.97624969482422
1741660084.9529626,671,-98.99624633789062
1741660095.891185,673,-99.10124969482422
1741660158.3808312,682,-103.27999877929688
1741660177.82194,685,-98.50375366210938
1741660182.517553,686,-98.40499877929688
1741660218.3581626,691,-98.43624877929688
1741660243.6455262,695,-98.28874969482422
1741660258.5284362,697,-98.28874969482422
1741660262.7444403,698,-98.28874969482422
1741660268.3269548,699,-98.28874969482422
1741660316.3325207,706,-127.81749725341797
1741660317.3391533,706,-132.92750549316406
1741660334.5234363,709,-98.73500061035156
1741660340.473108,710,-98.7074966430664
1741660370.24644,714,-98.64250183105469
1741660389.7405074,717,-98.28874969482422
1741660408.3952813,720,-99.31625366210938
1741660408.6923506,720,-98.28874969482422
1741660441.4232442,725,-98.44000244140625
1741660509.189587,735,-98.28874969482422
1741660512.836528,736,-98.28874969482422
1741660541.73919,740,-98.37625122070312
1741660558.339962,743,-98.43875122070312
1741660559.2341847,743,-98.25749969482422
1741660571.3740835,745,-127.4312515258789
1741660573.5814965,745,-98.08625030517578
1741660606.5251544,750,-98.47624969482422
1741660608.5005448,750,-98.25749969482422
1741660640.3966627,755,-99.00749969482422
1741660645.7120552,756,-103.16999816894531
1741660734.3514283,769,-98.19125366210938
1741660739.332838,770,-98.19125366210938
1741660753.3359842,772,-98.19125366210938
1741660785.130665,777,-98.7245864868164
1741660803.726025,780,-98.68250274658203
1741660837.7414708,785,-98.19125366210938
1741660838.729784,785,-98.19125366210938
1741660851.0291572,787,-98.19125366210938
1741660869.8594768,790,-98.22250366210938
1741660911.531713,796,-103.66874694824219
1741660916.5374377,797,-98.72125244140625
1741660923.3171685,798,-98.65249633789062
1741660935.8492684,800,-98.19125366210938
1741660956.5963461,803,-98.19125366210938
1741660971.8637297,805,-98.19125366210938
1741660984.7111537,807,-99.1762466430664
1741660996.0164914,809,-98.51000213623047
1741661034.9985,815,-98.19125366210938
1741661075.4136002,821,-102.94750213623047
1741661110.0507505,826,-98.19125366210938
1741661147.3018715,832,-98.45249938964844
1741661190.243642,838,-98.45249938964844
1741661193.9503956,839,-98.61250305175781
1741661208.3163793,841,-98.45249938964844
1741661254.6884198,848,-98.45249938964844
1741661302.4666843,855,-98.45249938964844
1741661314.5460992,857,-103.48625183105469
1741661316.8438306,857,-102.77375030517578
1741661380.4542735,867,-98.97875213623047
1741661381.401049,867,-98.83999633789062
1741661393.48487,869,-98.71499633789062
1741661425.3661444,874,-98.40374755859375
1741661431.5835354,875,-98.40374755859375
1741661432.8744876,875,-98.40374755859375
1741661447.741185,877,-98.8062515258789
1741661466.849831,880,-99.90499877929688
1741661494.6543417,884,-98.47624969482422
1741661505.5055895,886,-98.40374755859375
1741661512.6519651,887,-98.40374755859375
1741661520.519374,888,-98.40374755859375
1741661531.3379736,890,-98.40374755859375
1741661552.4028852,893,-98.40374755859375
1741661578.889686,897,-98.4887466430664
