time,distance,position,state,cact_mode,SOC,action,act_mode
0.01,0,P0,0,,0.59,-1,0.0
0.02,0,P0,0,,0.59,-1,0.0
0.03,0,P0,0,,0.59,-1,0.0
0.04,0,P0,0,,0.59,-1,0.0
0.05,0,P0,0,,0.59,-1,0.0
0.06,0,P0,0,,0.59,-1,0.0
0.07,0,P0,0,,0.59,-1,0.0
0.08,0,P0,0,,0.59,-1,0.0
0.09,0,P0,0,,0.59,-1,0.0
0.1,0,P0,0,,0.59,-1,0.0
0.11,0,P0,0,,0.59,-1,0.0
0.12,0,P0,0,,0.59,-1,0.0
0.13,0,P0,0,,0.59,-1,0.0
0.14,0,P0,0,,0.59,-1,0.0
0.15,0,P0,0,,0.59,-1,0.0
0.16,0,P0,0,,0.59,-1,0.0
0.17,0,P0,0,,0.59,-1,0.0
0.18,0,P0,0,,0.59,-1,0.0
0.19,0,P0,0,,0.59,-1,0.0
0.2,0,P0,0,,0.59,-1,0.0
0.21,0,P0,0,,0.59,-1,0.0
0.22,0,P0,0,,0.59,-1,0.0
0.23,0,P0,0,,0.59,-1,0.0
0.24,0,P0,0,,0.59,-1,0.0
0.25,0,P0,0,,0.59,-1,0.0
0.26,0,P0,0,,0.59,-1,0.0
0.27,0,P0,0,,0.59,-1,0.0
0.28,0,P0,0,,0.59,-1,0.0
0.29,0,P0,0,,0.59,-1,0.0
0.3,0,P0,0,,0.59,-1,0.0
0.31,0,P0,0,,0.59,-1,0.0
0.32,0,P0,0,,0.59,-1,0.0
0.33,0,P0,0,,0.59,-1,0.0
0.34,0,P0,0,,0.59,-1,0.0
0.35,0,P0,0,,0.59,-1,0.0
0.36,0,P0,0,,0.59,-1,0.0
0.37,0,P0,0,,0.59,-1,0.0
0.38,0,P0,0,,0.59,-1,0.0
0.39,0,P0,0,,0.59,-1,0.0
0.4,0,P0,0,,0.59,-1,0.0
0.41,1.0,0-5,0,,0.39999999999999997,-1,0.0
0.42,2.0,0-5,0,,0.39999999999999997,-1,0.0
0.43,3.0,0-5,0,,0.39999999999999997,-1,0.0
0.44,4.0,0-5,0,,0.39999999999999997,-1,0.0
0.45,5.0,0-5,0,,0.39999999999999997,-1,0.0
0.46,6.0,0-5,0,,0.39999999999999997,-1,0.0
0.47,7.0,0-5,0,,0.39999999999999997,-1,0.0
0.48,8.0,0-5,0,,0.39999999999999997,-1,0.0
0.49,9.0,0-5,0,,0.39999999999999997,-1,0.0
0.5,10.0,0-5,0,,0.39999999999999997,-1,0.0
0.51,11.0,0-5,0,,0.39999999999999997,-1,0.0
0.52,12.0,0-5,0,,0.39999999999999997,-1,0.0
0.53,13.0,0-5,0,,0.39999999999999997,-1,0.0
0.54,14.0,0-5,0,,0.39999999999999997,-1,0.0
0.55,15.0,0-5,0,,0.39999999999999997,-1,0.0
0.56,16.0,0-5,0,,0.39999999999999997,-1,0.0
0.57,17.0,0-5,0,,0.39999999999999997,-1,0.0
0.58,18.0,0-5,0,,0.39999999999999997,-1,0.0
0.59,19.0,0-5,0,,0.39999999999999997,-1,0.0
0.6,20.0,0-5,0,,0.39999999999999997,-1,0.0
0.61,21.0,0-5,0,,0.39999999999999997,-1,0.0
0.62,22.0,0-5,0,,0.39999999999999997,-1,0.0
0.63,23.0,0-5,0,,0.39999999999999997,-1,0.0
0.64,24.0,0-5,0,,0.39999999999999997,-1,0.0
0.65,25.0,0-5,0,,0.39999999999999997,-1,0.0
0.66,26.0,0-5,0,,0.39999999999999997,-1,0.0
0.67,27.0,0-5,0,,0.39999999999999997,-1,0.0
0.68,28.0,0-5,0,,0.39999999999999997,-1,0.0
0.69,29.0,0-5,0,,0.39999999999999997,-1,0.0
0.7,30.0,0-5,0,,0.39999999999999997,-1,0.0
0.71,31.0,0-5,0,,0.39999999999999997,-1,0.0
0.72,32.0,0-5,0,,0.39999999999999997,-1,0.0
0.73,33.0,0-5,0,,0.39999999999999997,-1,0.0
0.74,34.0,0-5,0,,0.39999999999999997,-1,0.0
0.75,35.0,0-5,0,,0.39999999999999997,-1,0.0
0.76,36.0,0-5,0,,0.39999999999999997,-1,0.0
0.77,37.0,0-5,0,,0.39999999999999997,-1,0.0
0.78,38.0,0-5,0,,0.39999999999999997,-1,0.0
0.79,39.0,0-5,0,,0.39999999999999997,-1,0.0
0.8,40.0,0-5,0,,0.39999999999999997,-1,0.0
0.81,41.0,0-5,0,,0.39999999999999997,-1,0.0
0.82,42.0,0-5,0,,0.39999999999999997,-1,0.0
0.83,43.0,0-5,0,,0.39999999999999997,-1,0.0
0.84,44.0,0-5,0,,0.39999999999999997,-1,0.0
0.85,45.0,0-5,0,,0.39999999999999997,-1,0.0
0.86,46.0,0-5,0,,0.39999999999999997,-1,0.0
0.87,47.0,0-5,0,,0.39999999999999997,-1,0.0
0.88,48.0,0-5,0,,0.39999999999999997,-1,0.0
0.89,49.0,0-5,0,,0.39999999999999997,-1,0.0
0.9,50.0,0-5,0,,0.39999999999999997,-1,0.0
0.91,51.0,0-5,0,,0.39999999999999997,-1,0.0
0.92,52.0,0-5,0,,0.39999999999999997,-1,0.0
0.93,53.0,0-5,0,,0.39999999999999997,-1,0.0
0.94,54.0,0-5,0,,0.39999999999999997,-1,0.0
0.95,55.0,0-5,0,,0.39999999999999997,-1,0.0
0.96,56.0,0-5,0,,0.39999999999999997,-1,0.0
0.97,57.0,0-5,0,,0.39999999999999997,-1,0.0
0.98,58.0,0-5,0,,0.39999999999999997,-1,0.0
0.99,59.0,0-5,0,,0.39999999999999997,-1,0.0
1.0,60.0,0-5,0,,0.39999999999999997,-1,0.0
1.01,61.0,0-5,0,,0.39999999999999997,-1,0.0
1.02,62.0,0-5,0,,0.39999999999999997,-1,0.0
1.03,63.0,0-5,0,,0.39999999999999997,-1,0.0
1.04,64.0,0-5,0,,0.39999999999999997,-1,0.0
1.05,65.0,0-5,0,,0.39999999999999997,-1,0.0
1.06,66.0,0-5,0,,0.39999999999999997,-1,0.0
1.07,67.0,0-5,0,,0.39999999999999997,-1,0.0
1.08,68.0,0-5,0,,0.39999999999999997,-1,0.0
1.09,69.0,0-5,0,,0.39999999999999997,-1,0.0
1.1,70.0,0-5,0,,0.39999999999999997,-1,0.0
1.11,71.0,0-5,0,,0.39999999999999997,-1,0.0
1.12,72.0,0-5,0,,0.39999999999999997,-1,0.0
1.13,73.0,0-5,0,,0.39999999999999997,-1,0.0
1.14,74.0,0-5,0,,0.39999999999999997,-1,0.0
1.15,75.0,0-5,0,,0.39999999999999997,-1,0.0
1.16,76.0,0-5,0,,0.39999999999999997,-1,0.0
1.17,77.0,5-6,0,,0.295,-1,0.0
1.18,78.0,5-6,0,,0.295,-1,0.0
1.19,79.0,5-6,0,,0.295,-1,0.0
1.2,80.0,5-6,0,,0.295,-1,0.0
1.21,81.0,5-6,0,,0.295,-1,0.0
1.22,82.0,5-6,0,,0.295,-1,0.0
1.23,83.0,5-6,0,,0.295,-1,0.0
1.24,84.0,5-6,0,,0.295,-1,0.0
1.25,85.0,5-6,0,,0.295,-1,0.0
1.26,86.0,5-6,0,,0.295,-1,0.0
1.27,87.0,5-6,0,,0.295,-1,0.0
1.28,88.0,5-6,0,,0.295,-1,0.0
1.29,89.0,5-6,0,,0.295,-1,0.0
1.3,90.0,5-6,0,,0.295,-1,0.0
1.31,91.0,5-6,0,,0.295,-1,0.0
1.32,92.0,5-6,0,,0.295,-1,0.0
1.33,93.0,5-6,0,,0.295,-1,0.0
1.34,94.0,5-6,0,,0.295,-1,0.0
1.35,95.0,5-6,0,,0.295,-1,0.0
1.36,96.0,5-6,0,,0.295,-1,0.0
1.37,97.0,5-6,0,,0.295,-1,0.0
1.38,98.0,5-6,0,,0.295,-1,0.0
1.39,99.0,5-6,0,,0.295,-1,0.0
1.4,100.0,5-6,0,,0.295,-1,0.0
1.41,101.0,5-6,0,,0.295,-1,0.0
1.42,102.0,5-6,0,,0.295,-1,0.0
