Wall time,Step,Value
1740734722.569435,3,-139.125
1740734723.5308654,3,-166.6475067138672
1740734736.0450132,5,-147.6999969482422
1740734746.2226207,6,-138.375
1740734776.3166678,11,-128.09625244140625
1740734780.8566337,12,-123.74250030517578
1740734812.456167,17,-120.85375213623047
1740734815.5753133,17,-123.95625305175781
1740734837.7579224,19,-120.0199966430664
1740734852.5247247,20,-121.03500366210938
1740734874.553211,24,-126.1312484741211
1740734875.2314975,24,-117.69125366210938
1740734879.9766166,25,-122.0
1740734928.3565202,34,-120.42375183105469
1740734947.223029,38,-120.05374908447266
1740734953.3633237,39,-120.40750122070312
1740734984.0126574,46,-119.1762466430664
1740734995.206674,48,-121.1500015258789
1740735003.5640883,50,-125.45375061035156
1740735007.845316,51,-118.20625305175781
1740735028.877873,55,-116.52749633789062
1740735036.3037732,57,-117.18250274658203
1740735042.342747,58,-119.57624816894531
1740735046.847316,59,-116.74624633789062
1740735066.0241823,63,-121.43499755859375
1740735070.061669,64,-118.9800033569336
1740735092.5303178,69,-119.3187484741211
1740735098.2475235,70,-122.72750091552734
1740735100.5434892,71,-119.65750122070312
1740735106.5689313,72,-116.25499725341797
1740735109.9934704,73,-118.49124908447266
1740735122.6019146,76,-119.5512466430664
1740735176.1124606,87,-116.67124938964844
1740735188.805267,89,-119.1987533569336
1740735191.2168264,90,-120.98625183105469
1740735193.370581,90,-117.51374816894531
1740735218.0035877,93,-116.75
1740735228.6848586,94,-118.16000366210938
1740735263.4781954,99,-117.16000366210938
1740735264.3702104,99,-116.95500183105469
1740735279.5172906,102,-117.05874633789062
1740735284.6939485,103,-120.58000183105469
1740735322.0187662,111,-119.31749725341797
1740735361.561223,119,-118.64749908447266
1740735388.2960327,125,-119.87999725341797
1740735389.3853874,125,-117.66625213623047
1740735397.6043525,127,-119.90625
1740735398.781413,127,-121.76374816894531
1740735423.6039982,132,-117.86624908447266
1740735427.3888993,133,-119.45500183105469
1740735437.576938,135,-117.52874755859375
1740735442.9847353,136,-118.56500244140625
1740735447.5793815,137,-122.73374938964844
1740735461.2843957,140,-121.24749755859375
1740735473.8079338,143,-121.69499969482422
1740735490.037892,146,-118.88874816894531
1740735515.3497143,150,-118.83875274658203
1740735531.1772866,151,-118.51625061035156
1740735545.732763,153,-117.74749755859375
1740735559.9056468,155,-118.38375091552734
1740735578.8109767,159,-145.88499450683594
1740735603.3054996,164,-118.2125015258789
1740735612.574686,166,-118.38874816894531
1740735616.8190494,167,-118.06749725341797
1740735622.7969866,168,-118.18250274658203
1740735623.5195684,168,-117.23750305175781
1740735625.96796,169,-119.59249877929688
1740735646.2553856,173,-118.63249969482422
1740735676.9678469,180,-118.0562515258789
1740735681.1937604,181,-118.42749786376953
1740735688.4696646,182,-119.0112533569336
1740735691.326826,183,-119.65750122070312
1740735693.7985542,183,-117.87000274658203
1740735712.9322677,187,-117.57499694824219
1740735721.6428,189,-117.61499786376953
1740735728.8024256,191,-120.0562515258789
1740735753.2723088,196,-121.5425033569336
