Wall time,Step,Value
1740451537.2503986,2,-165.913330078125
1740451539.181493,2,-165.9704132080078
1740451563.5045002,3,-167.50209045410156
1740451579.3658006,3,-159.5
1740451665.0692348,6,-159.68666076660156
1740451716.2848387,8,-153.024169921875
1740451719.446797,8,-154.19541931152344
1740451738.020663,9,-142.98707580566406
1740451749.042916,9,-146.3633270263672
1740451790.8752563,11,-140.3995819091797
1740451793.523394,11,-138.6024932861328
1740451803.9010916,11,-140.6054229736328
1740451943.3455348,17,-137.7291717529297
1740452019.720537,20,-136.57833862304688
1740452052.0501957,21,-122.23249816894531
1740452063.5376918,22,-123.08041381835938
1740452106.6580708,24,-120.49208068847656
1740452122.045419,24,-135.15625
1740452192.7619038,27,-126.5824966430664
1740452203.3756256,28,-156.53457641601562
1740452288.8660498,31,-132.11666870117188
1740452296.375794,31,-119.0687484741211
1740452352.2048404,33,-124.92292022705078
1740452466.9517586,39,-112.66999816894531
1740452501.9958727,41,-113.55333709716797
1740452547.2353382,44,-124.055419921875
1740452573.1013138,45,-122.36583709716797
1740452636.8616362,49,-113.89167022705078
1740452701.0757313,53,-116.66041564941406
1740452752.768078,56,-111.89875030517578
1740452756.3646564,56,-114.7754135131836
1740452771.0529141,56,-128.117919921875
1740452778.8579931,57,-124.39875030517578
1740452813.3274274,59,-116.10916900634766
1740452816.8645678,59,-126.2933349609375
1740452850.547925,61,-127.27916717529297
1740452876.3172438,63,-115.33833312988281
1740452949.599249,67,-111.9749984741211
1740452984.8366742,69,-111.21499633789062
1740453084.283088,74,-114.09916687011719
1740453126.4190876,76,-116.26083374023438
1740453129.9021986,76,-103.06666564941406
1740453233.8759482,82,-122.21875
1740453257.550198,83,-120.78500366210938
1740453307.6875746,85,-117.82083129882812
1740453338.2509692,87,-118.15499877929688
1740453409.6603749,91,-105.27375030517578
1740453479.751381,94,-105.04374694824219
1740453557.4441266,99,-109.04125213623047
1740453564.2753582,99,-111.83625030517578
1740453601.1347594,101,-107.08374786376953
1740453636.4633443,102,-105.59249877929688
1740453678.6454418,105,-106.62124633789062
1740453746.9002922,109,-106.68499755859375
1740453804.5461178,111,-106.04374694824219
1740453819.0493345,112,-111.1875
1740453820.1989927,112,-106.8550033569336
1740453823.1432178,112,-114.18875122070312
1740453849.321889,114,-111.12124633789062
1740453849.8232315,114,-111.31500244140625
1740453856.6936135,114,-110.87625122070312
1740453859.5248208,114,-111.91708374023438
1740453887.4080985,116,-112.10832977294922
1740454038.8871794,124,-108.43875122070312
1740454082.9849522,126,-124.60250091552734
1740454320.690569,138,-106.16999816894531
1740454378.2690809,141,-106.00250244140625
1740454379.952144,141,-101.65125274658203
1740454503.5744884,147,-105.77999877929688
1740454566.5298922,151,-100.9262466430664
1740454583.062386,152,-109.7925033569336
1740454584.0347188,152,-101.57624816894531
1740454654.1874952,155,-100.9000015258789
1740454820.8110943,163,-100.01625061035156
1740454941.34028,170,-105.24749755859375
1740454943.9770548,170,-105.24500274658203
1740455002.2675238,173,-105.54000091552734
1740455065.9798975,177,-104.88749694824219
1740455146.0052323,180,-110.79875183105469
1740455149.2691846,180,-100.72875213623047
1740455243.426749,186,-100.04875183105469
1740455271.5025845,187,-99.71125030517578
1740455355.7740605,191,-104.99124908447266
1740455410.1476266,194,-109.20625305175781
1740455515.2088203,199,-99.96875
1740455548.6146703,201,-100.0625
1740455639.4612026,205,-100.53375244140625
1740455710.1346738,209,-104.2750015258789
1740455811.9882345,214,-100.1762466430664
1740455827.2818224,215,-100.0112533569336
1740455844.969953,216,-100.19249725341797
1740455975.85375,222,-99.9124984741211
1740455983.4522612,223,-104.37875366210938
1740455987.9175377,223,-109.41500091552734
1740456092.7788703,228,-104.88874816894531
1740456116.7342951,229,-104.88749694824219
1740456149.1364198,231,-105.5512466430664
1740456198.264285,234,-110.9991683959961
1740456286.707285,238,-109.19000244140625
1740456348.7990046,241,-99.86750030517578
1740456355.6003473,242,-99.80000305175781
1740456402.3137038,244,-100.28916931152344
1740456446.2153323,246,-105.00250244140625
1740456644.1866758,256,-105.11499786376953
1740456657.7885346,257,-104.0875015258789
1740456710.3311539,260,-99.76249694824219
1740456838.1530786,266,-99.63999938964844
1740456972.423833,273,-100.48542022705078
1740457009.4958873,275,-99.80750274658203
1740457103.351809,279,-105.29875183105469
1740457151.9662852,282,-104.03624725341797
1740457161.6105034,283,-104.65625
1740457188.072897,284,-99.76625061035156
1740457280.5286133,288,-99.71375274658203
1740457422.615974,295,-100.45958709716797
1740457483.629671,299,-105.15249633789062
1740457499.8579366,300,-100.2249984741211
1740457568.5994916,303,-104.3499984741211
1740457603.9528763,305,-99.75749969482422
1740457656.4781454,308,-100.05249786376953
1740457799.1957662,315,-99.91999816894531
1740457847.8136218,318,-105.15499877929688
1740457870.8822737,319,-99.54499816894531
1740457972.3261502,324,-100.05874633789062
1740457973.9632096,324,-100.02749633789062
1740457980.9411156,324,-100.92041778564453
1740458128.1261475,332,-99.73625183105469
1740458240.417674,337,-99.66500091552734
1740458268.778611,339,-104.9000015258789
1740458370.7325084,345,-109.87750244140625
1740458424.9518323,347,-108.79125213623047
1740458578.1930382,355,-104.29750061035156
1740458637.691572,358,-100.22750091552734
1740458700.0686052,362,-104.34625244140625
1740458705.8053317,362,-100.2125015258789
1740458709.184609,362,-104.89375305175781
1740458736.3407216,363,-99.22125244140625
1740458771.2200859,365,-105.74749755859375
1740458945.92028,374,-99.65374755859375
1740459022.4033854,378,-99.63375091552734
1740459036.1943316,379,-99.7612533569336
1740459084.8860886,381,-104.29458618164062
1740459240.9323647,389,-99.20124816894531
1740459298.7753236,392,-99.26875305175781
1740459420.9547968,398,-99.74500274658203
1740459456.1250947,400,-99.96499633789062
1740459596.8887088,407,-103.56375122070312
1740459605.2555566,408,-99.70500183105469
1740459610.2344534,408,-128.54249572753906
1740459696.78138,413,-100.0754165649414
1740459736.332969,414,-100.7562484741211
1740459747.4670417,415,-100.66708374023438
1740459823.2967594,419,-105.0433349609375
1740459853.803045,421,-100.04374694824219
1740460103.8447905,433,-99.43624877929688
1740460131.2503774,435,-99.75
1740460149.602754,436,-99.72750091552734
1740460153.7358146,436,-99.55874633789062
1740460219.2716143,439,-99.73750305175781
1740460276.5399103,442,-100.15958404541016
1740460479.0461028,453,-99.29125213623047
1740460535.892794,455,-100.32499694824219
1740460573.051927,457,-99.73374938964844
1740460645.1690972,461,-104.86499786376953
1740460676.1332037,463,-104.5512466430664
1740460768.0808628,467,-99.64250183105469
1740460781.3608925,468,-100.25125122070312
1740460882.117626,473,-99.70249938964844
1740460901.8002515,474,-99.57250213623047
1740460916.2163844,475,-100.19125366210938
1740461029.826716,482,-99.80750274658203
1740461077.9804146,485,-99.6762466430664
1740461201.0815303,493,-104.69999694824219
1740461220.2624066,494,-104.6449966430664
1740461378.399179,504,-104.36499786376953
1740461381.6347973,504,-99.57250213623047
1740461496.9324758,510,-104.83875274658203
1740461572.3331833,514,-103.68499755859375
1740461621.0520463,516,-103.8012466430664
1740461693.4357994,520,-101.39583587646484
1740461722.2025368,522,-108.76499938964844
1740461749.3461413,523,-99.58999633789062
1740461799.355214,525,-106.3637466430664
1740461844.2057517,528,-100.56124877929688
1740461844.7878032,528,-104.99500274658203
1740461863.772289,529,-100.0374984741211
1740461935.9110887,532,-103.70249938964844
1740461940.868876,532,-100.31625366210938
1740461985.2516744,535,-101.72000122070312
1740461986.8806171,535,-101.72000122070312
1740462019.4927804,537,-100.22374725341797
1740462037.9850235,538,-101.70500183105469
1740462047.9392292,539,-104.625
1740462106.0283132,541,-100.4625015258789
1740462173.8057327,545,-105.1362533569336
1740462191.5958045,546,-100.4800033569336
1740462202.4866068,547,-100.76875305175781
