Wall time,Step,Value
1741621428.1945698,4,-184.66207885742188
1741621429.7647686,4,-177.57791137695312
1741621450.1271768,6,-169.18124389648438
1741621469.7927268,8,-170.53041076660156
1741621521.3563218,14,-137.9570770263672
1741621525.0244684,14,-139.85166931152344
1741621566.296452,20,-133.82333374023438
1741621568.1173596,20,-129.79833984375
1741621581.9085243,22,-131.01083374023438
1741621591.4656532,23,-121.4745864868164
1741621613.1505342,26,-125.56500244140625
1741621613.8990297,26,-121.75291442871094
1741621619.803516,27,-127.5
1741621683.0309677,36,-133.3262481689453
1741621709.9146821,39,-113.805419921875
1741621719.5175238,40,-111.52916717529297
1741621760.416591,45,-121.29875183105469
1741621777.3266046,47,-124.83000183105469
1741621788.462604,49,-114.78624725341797
1741621790.7996693,49,-116.24666595458984
1741621819.1467404,53,-115.6762466430664
1741621826.551375,54,-113.93499755859375
1741621840.5959044,56,-108.54291534423828
1741621867.039649,60,-107.4887466430664
1741621872.8163786,61,-126.30333709716797
1741621901.5137417,65,-106.47875213623047
1741621909.1317039,66,-120.77249908447266
1741621917.6328495,67,-107.3062515258789
1741621922.4851692,68,-109.16874694824219
1741621939.3310366,70,-108.34708404541016
1741622012.355248,79,-104.2612533569336
1741622027.6541884,81,-121.29000091552734
1741622053.1517515,85,-102.72374725341797
1741622082.196186,89,-102.16625213623047
1741622106.839731,93,-105.22624969482422
1741622150.1640413,99,-114.24708557128906
1741622202.682983,106,-101.02999877929688
1741622238.5443676,110,-100.79499816894531
1741622239.5844462,110,-110.79833221435547
1741622249.8406985,112,-108.77625274658203
1741622251.0695865,112,-106.3062515258789
1741622279.530116,116,-109.77249908447266
1741622284.6963708,117,-110.9749984741211
1741622308.1520247,120,-128.89999389648438
1741622326.9968057,123,-106.54875183105469
1741622358.1156962,127,-100.10375213623047
1741622376.78311,130,-104.41374969482422
1741622385.0979562,131,-116.875
1741622396.2899754,133,-101.59249877929688
1741622427.610759,137,-101.95124816894531
1741622461.0821302,141,-99.82250213623047
1741622475.5180583,143,-101.6504135131836
1741622482.4365203,144,-105.44000244140625
1741622491.2404695,145,-100.94000244140625
1741622492.3069015,145,-99.75041961669922
1741622518.8907878,149,-99.62458038330078
1741622554.4671612,154,-117.44708251953125
1741622560.4796412,155,-105.9695816040039
1741622567.7277606,156,-99.1433334350586
1741622568.7732625,156,-99.85124969482422
1741622574.3362205,157,-105.17250061035156
1741622596.7292283,160,-99.23124694824219
1741622608.512319,162,-104.17250061035156
1741622615.8793325,163,-103.26625061035156
1741622645.6020834,167,-100.3687515258789
1741622666.4503534,170,-100.1624984741211
1741622706.5716562,175,-103.11958312988281
1741622765.5909739,183,-110.28916931152344
1741622772.158575,184,-103.75
1741622788.3939526,186,-99.91124725341797
1741622793.309293,187,-107.67749786376953
1741622805.7386816,189,-104.12374877929688
1741622807.3522823,189,-103.92500305175781
1741622833.9915721,193,-99.97374725341797
1741622840.979147,194,-103.97624969482422
1741622861.5067315,197,-104.56375122070312
1741622881.9495435,200,-106.95625305175781
